Name,Pos,City,State,Height,Weight,Stars,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank
De'Lano Madison,ATH,Bloomfield Hills,MI,5'7'',170,NR,Western Michigan,,,,,2015,Western Michigan,, None, None
Obbie Jackson,CB,West Bloomfield,MI,5'10'',150,NR,Western Michigan,,,,,2015,Western Michigan,,,
Eric Assoua,OLB,Washington,DC,6'2'',220,NR,Western Michigan,,NR,,,2015,Western Michigan,,,
Cash Conder,WR,Celina,TX,5'11'',195,NR,Western Michigan,,NR,,,2015,Western Michigan,,,
Connor Guzy,DE,Newtown,PA,6'3'',240,NR,Western Michigan,,,,,2015,Western Michigan,,,
Daniel Jackson,DT,Plainfield,IL,6'2'',250,NR,Western Michigan,,,,,2015,Western Michigan,,,
Tony Balabani,DE,Macomb,MI,6'3'',230,NR,Western Michigan,,,,,2015,Western Michigan,,,
Luke Juriga,OG,Aurora,IL,6'3'',280,NR,Western Michigan,,,,,2015,Western Michigan,,,
Carrington Thompson,WR,Rosenberg,TX,6'2'',170,TR,Western Michigan,,,,,2015,Western Michigan,,,
Matt Falcon,RB,Southfield,MI,6'1'',215.0,80.0,Western Michigan,,27,,,2016,Western Michigan,,37,10
Stefan Claiborne,S,Clinton Township,MI,,6'1'',177.0,76,,20,,,2016,Western Michigan,Western Michigan,,
Eric Rogers,ILB,Warren,MI,,6'1'',230.0,75,,33,,,2016,Western Michigan,Western Michigan,103,21
Matt Little,QB-DT,Evanston,IL,,6'3'',210.0,74,,36,,,2016,Western Michigan,Western Michigan,129,27
Spencer Kanz,OT,Luxemburg,WI,,6'5'',270.0,74,,82,,,2016,Western Michigan,Western Michigan,130,5
Butch Hampton,K,Piedmont,OK,,6'0'',170.0,73,,41,,,2016,Western Michigan,Western Michigan,208,18
Emanuel Jackson,RB,Novi,MI,5'11'',175.0,73.0,Western Michigan,,103,,,2016,Western Michigan,,,
Tristan Pipp,ILB,Greendale,WI,,6'1'',210.0,72,,49,,,2016,Western Michigan,Western Michigan,168,9
Dontre Boyd,CB,Detroit,MI,5'10'',165.0,72.0,Western Michigan,,99,,,2016,Western Michigan,,,
D'Wayne Eskridge,RB,Bluffton,IN,5'10'',190.0,72.0,Western Michigan,,,,,2016,Western Michigan,,,
Mike Caliendo,OG,Brookfield,WI,,6'3'',275.0,71,,100,,,2016,Western Michigan,Western Michigan,,
Jordan Asbury,OG,Warren,MI,,6'4'',260.0,71,,41,,,2016,Western Michigan,Western Michigan,205,38
Brett Borske,TEY,Naperville,IL,,6'5'',230.0,70,,224,,,2016,Western Michigan,Western Michigan,236,40
Kalebb Perry,WR,Mount Pleasant,MI,,6'2'',180.0,68,,144,,,2016,Western Michigan,Western Michigan,244,42
